,과목이름,교수님,평점,과제,팀플,학점 비율
317,대학생활과진로설계,장윤,1,보통,보통,학점느님
318,운영체제,Lewis Nkenyereye,5,보통,없음,학점느님
319,오픈소스SW설계,Lewis Nkenyereye,3.67,많음,없음,학점느님
320,보안프로그래밍,Lewis Nkenyereye,3.33,많음,없음,매우 깐깐함
321,웹프로그래밍,Lewis Nkenyereye,3,보통,없음,비율 채워줌
322,컴퓨터네트워크,Lewis Nkenyereye,2,많음,없음,비율 채워줌
323,데이터베이스보안,Lewis Nkenyereye,1,보통,보통,학점느님
324,보안정책과법규,박대섭,4,많음,없음,비율 채워줌
325,사이버전개론,박대섭,3.91,보통,보통,비율 채워줌
326,인공지능,김원일,2.5,없음,없음,비율 채워줌
327,HCI개론,김원일,2.5,보통,없음,비율 채워줌
328,컴퓨터구조,김원일,2.5,없음,없음,비율 채워줌
329,컴퓨터네트워크,김원일,2.45,없음,없음,비율 채워줌
330,지능형시스템,김원일,2.33,없음,없음,비율 채워줌
331,운영체제,김원일,2,없음,없음,비율 채워줌
332,대학생활과진로설계,노재춘,5,보통,없음,학점느님
333,Unix프로그래밍,노재춘,4.92,보통,보통,학점느님
334,컴파일러,노재춘,4.57,보통,없음,비율 채워줌
335,자료구조및실습,노재춘,4.29,보통,없음,학점느님
336,C프로그래밍및실습,노재춘,3.75,보통,없음,비율 채워줌
337,운영체제,노재춘,3.27,많음,없음,매우 깐깐함
338,K-MOOC:코딩과스토리텔링,백성욱,4.72,보통,없음,학점느님
339,소프트웨어기초코딩,백성욱,3.68,많음,없음,비율 채워줌
340,컴퓨팅사고기반기초코딩,백성욱,3.18,보통,없음,비율 채워줌
341,프로그래밍입문-P,백성욱,2.85,많음,없음,매우 깐깐함
342,소프트웨어특강1,유성준,5,보통,없음,비율 채워줌
343,K-MOOC:파이썬을이용한기계학습개론,유성준,5,없음,없음,비율 채워줌
344,신입생세미나,유성준,5,보통,없음,학점느님
345,소프트웨어특강2,유성준,3.25,많음,없음,학점느님
346,기계학습,유성준,2.83,많음,없음,비율 채워줌
347,졸업연구및진로2,김경중,5,없음,없음,학점느님
348,대학생활과진로설계,김경중,5,없음,없음,학점느님
349,C프로그래밍및실습,김경중,5,보통,없음,학점느님
350,K-MOOC:게임인공지능,김경중,5,없음,없음,학점느님
351,인공지능,김경중,3.5,보통,보통,비율 채워줌
352,ES-문화예술과ICT,김경중,3,보통,많음,비율 채워줌
353,전산개론-C,김경중,2.5,없음,없음,비율 채워줌
354,공학설계기초,장윤,5,많음,많음,학점느님
355,데이터시각화,장윤,3,많음,보통,비율 채워줌
356,공학설계기초(산학프로젝트입문),장윤,2.96,많음,없음,학점느님
357,컴퓨터그래픽스,장윤,2.92,많음,없음,비율 채워줌
358,ES-웨어러블컴퓨터디자인,장윤,1,많음,많음,비율 채워줌
359,대학생활과진로설계,장윤,1,보통,보통,학점느님
360,데이터구조론,최준연,5,많음,없음,비율 채워줌
361,SW설계기초(산학프로젝트입문),최준연,4.4,많음,많음,비율 채워줌
362,자료구조및실습,최준연,4.31,보통,없음,비율 채워줌
363,데이터베이스,김미숙,5,많음,없음,비율 채워줌
364,기계학습,김미숙,5,많음,없음,비율 채워줌
365,고급기계학습,김미숙,4,많음,보통,학점느님
366,창의SW융합노마드,김미숙,3.75,많음,없음,학점느님
367,K-MOOC:기계학습,김미숙,2,보통,없음,매우 깐깐함
368,데이터분석개론,곽진태,3,보통,보통,비율 채워줌
369,C프로그래밍및실습,곽진태,2.8,보통,없음,비율 채워줌
370,고급C프로그래밍및실습,곽진태,2.5,많음,없음,비율 채워줌
371,패턴인식,곽진태,2,보통,보통,비율 채워줌
372,신입생세미나,이승원,5,보통,없음,학점느님
373,세종사회봉사1,이승원,5,없음,없음,학점느님
374,데이터문제해결및실습1,이승원,4.5,보통,없음,학점느님
375,운영체제,이승원,4.38,보통,없음,학점느님
376,대학생활과진로설계,이승원,4,없음,없음,학점느님
377,고급C프로그래밍및실습,이승원,3.88,보통,없음,학점느님
378,확률통계및프로그래밍,이승원,3.4,보통,없음,비율 채워줌
379,알고리즘및실습,이승원,3,없음,없음,학점느님
380,C프로그래밍및실습,이승원,2,많음,없음,F 폭격기
381,신입생세미나,오시몬,5,없음,없음,학점느님
382,웹프로그래밍,Jamil HUSSAIN,3,보통,보통,비율 채워줌
383,사물인터넷,김형석,5,보통,없음,학점느님
384,컴퓨터구조및운영체제,김형석,4.25,보통,없음,학점느님
385,창의융합노마드,김형석,3,보통,보통,학점느님
386,창의SW기초설계,김형석,3,없음,많음,학점느님
387,기초설계,김형석,1.71,많음,많음,비율 채워줌
388,통신시스템,이병무,5,보통,없음,학점느님
389,디지털신호처리,이병무,5,보통,없음,학점느님
390,이산수학및프로그래밍,이병무,4.33,보통,없음,학점느님
391,C프로그래밍및실습,이병무,4,보통,없음,학점느님
392,고급C프로그래밍및실습,이병무,4,많음,없음,비율 채워줌
393,선형대수및프로그래밍,이병무,3.8,보통,없음,비율 채워줌
394,확률통계및프로그래밍,이병무,3.25,보통,없음,비율 채워줌
395,고급프로그래밍입문-P,임유승,5,보통,없음,학점느님
396,창의SW융합노마드,임유승,5,보통,보통,학점느님
397,C프로그래밍및실습,임유승,4.47,보통,없음,비율 채워줌
398,고급C프로그래밍및실습,임유승,4,보통,없음,비율 채워줌
399,전자회로,임유승,4,보통,없음,학점느님
400,물리전자공학,임유승,4,보통,없음,비율 채워줌
401,전기회로실험,임유승,2.2,많음,없음,매우 깐깐함
402,창의SW융합노마드,박성훈,5,없음,없음,학점느님
403,센서소자및시스템,박성훈,5,없음,없음,학점느님
404,반도체공정,박성훈,4.5,보통,없음,학점느님
405,창의융합노마드,박성훈,4,보통,많음,학점느님
406,선형대수및프로그래밍,박성훈,3.5,보통,없음,학점느님
407,선형대수,박성훈,3,없음,없음,학점느님
408,고급프로그래밍입문-P,박성훈,3,없음,없음,학점느님
409,공업수학1,박성훈,2.83,없음,없음,비율 채워줌
410,C프로그래밍및실습,박성훈,2.5,보통,없음,비율 채워줌
411,반도체소자,박성훈,2,없음,없음,비율 채워줌
412,프로그래밍입문-P,박성훈,1,보통,없음,비율 채워줌
413,동역학,송진우,5,보통,없음,비율 채워줌
414,전기회로실험,송진우,5,많음,없음,학점느님
415,신입생세미나,송진우,5,없음,없음,학점느님
416,창의SW기초설계,송진우,5,보통,보통,학점느님
